IDMessage;Battery;Value;W/h;amps
0;B0;2.93;;
0;B1;2.94;;
0;B2;2.97;;
0;B3;2.94;;
0;B4;2.99;;
0;B5;2.93;;
;;;0;0
0;B0;2.94;;
0;B1;2.97;;
0;B2;2.98;;
0;B3;2.94;;
0;B4;3;;
0;B5;2.94;;
;;;0;0
0;B0;2.94;;
0;B1;2.96;;
0;B2;2.99;;
0;B3;2.96;;
0;B4;3.01;;
0;B5;2.94;;
;;;0;0
0;B0;2.7;;
0;B1;2.7;;
0;B2;2.74;;
0;B3;2.65;;
0;B4;2.76;;
0;B5;2.68;;
;;;0.12;11.05
0;B0;2.86;;
0;B1;2.87;;
0;B2;2.89;;
0;B3;2.86;;
0;B4;2.91;;
0;B5;2.85;;
;;;3.49;0
0;B0;2.87;;
0;B1;2.89;;
0;B2;2.92;;
0;B3;2.87;;
0;B4;2.94;;
0;B5;2.87;;
;;;3.5;0
0;B0;2.88;;
0;B1;2.88;;
0;B2;2.93;;
0;B3;2.85;;
0;B4;2.94;;
0;B5;2.86;;
;;;3.51;1.61
0;B0;2.79;;
0;B1;2.79;;
0;B2;2.83;;
0;B3;2.78;;
0;B4;2.85;;
0;B5;2.78;;
;;;6;0
0;B0;2.05;;
0;B1;1.9;;
0;B2;2.03;;
0;B3;1.83;;
0;B4;2.02;;
0;B5;1.87;;
;;;14.02;34.6
0;B0;2.16;;
0;B1;2.06;;
0;B2;2.16;;
0;B3;2.01;;
0;B4;2.15;;
0;B5;2.03;;
;;;16.73;29.32
0;B0;2.23;;
0;B1;2.14;;
0;B2;2.23;;
0;B3;2.08;;
0;B4;2.22;;
0;B5;2.11;;
;;;23.05;24.94
0;B0;2.24;;
0;B1;2.14;;
0;B2;2.26;;
0;B3;2.1;;
0;B4;2.25;;
0;B5;2.13;;
;;;25;24.05
0;B0;2.22;;
0;B1;2.25;;
0;B2;2.21;;
0;B3;2.08;;
0;B4;2.34;;
0;B5;2.1;;
;;;31.13;24.77
0;B0;2.75;;
0;B1;2.74;;
0;B2;2.79;;
0;B3;2.77;;
0;B4;2.8;;
0;B5;2.74;;
;;;31.19;0
0;B0;2.81;;
0;B1;2.8;;
0;B2;2.86;;
0;B3;2.79;;
0;B4;2.86;;
0;B5;2.8;;
;;;31.3;0
0;B0;2.82;;
0;B1;2.83;;
0;B2;2.87;;
0;B3;2.81;;
0;B4;2.87;;
0;B5;2.81;;
;;;31.3;1.16
0;B0;2.84;;
0;B1;2.84;;
0;B2;2.88;;
0;B3;2.84;;
0;B4;2.9;;
0;B5;2.84;;
;;;31.54;0
0;B0;2.85;;
0;B1;2.86;;
0;B2;2.9;;
0;B3;2.83;;
0;B4;2.9;;
0;B5;2.84;;
;;;31.55;0
0;B0;1.95;;
0;B1;1.79;;
0;B2;1.95;;
0;B3;1.72;;
0;B4;1.91;;
0;B5;1.75;;
;;;34.97;42.65
0;B0;2.03;;
0;B1;1.89;;
0;B2;2.02;;
0;B3;1.84;;
0;B4;2.04;;
0;B5;1.86;;
;;;37.9;36.88
0;B0;2.79;;
0;B1;2.78;;
0;B2;2.83;;
0;B3;2.78;;
0;B4;2.84;;
0;B5;2.78;;
;;;40.42;0.94
0;B0;2.3;;
0;B1;2.21;;
0;B2;2.33;;
0;B3;2.21;;
0;B4;2.32;;
0;B5;2.21;;
;;;40.97;25.55
0;B0;2.39;;
0;B1;2.29;;
0;B2;2.41;;
0;B3;2.25;;
0;B4;2.39;;
0;B5;2.29;;
;;;43.35;21.71
0;B0;2.79;;
0;B1;2.78;;
0;B2;2.83;;
0;B3;2.79;;
0;B4;2.85;;
0;B5;2.79;;
;;;44.46;0
0;B0;2.68;;
0;B1;2.65;;
0;B2;2.71;;
0;B3;2.63;;
0;B4;2.71;;
0;B5;2.64;;
;;;45.96;6.39
0;B0;2.82;;
0;B1;2.82;;
0;B2;2.86;;
0;B3;2.83;;
0;B4;2.87;;
0;B5;2.82;;
;;;46.08;0.78
0;B0;2.59;;
0;B1;2.54;;
0;B2;2.62;;
0;B3;2.53;;
0;B4;2.63;;
0;B5;2.54;;
;;;47.12;12.44
0;B0;2.84;;
0;B1;2.83;;
0;B2;2.88;;
0;B3;2.83;;
0;B4;2.89;;
0;B5;2.83;;
;;;47.44;1.55
0;B0;2.86;;
0;B1;2.85;;
0;B2;2.9;;
0;B3;2.86;;
0;B4;2.92;;
0;B5;2.86;;
;;;47.52;0
0;B0;2.86;;
0;B1;2.87;;
0;B2;2.91;;
0;B3;2.87;;
0;B4;2.92;;
0;B5;2.86;;
;;;47.53;0
0;B0;2.87;;
0;B1;2.88;;
0;B2;2.92;;
0;B3;2.85;;
0;B4;2.91;;
0;B5;2.87;;
;;;47.57;0
0;B0;2.88;;
0;B1;2.89;;
0;B2;2.92;;
0;B3;2.87;;
0;B4;2.93;;
0;B5;2.87;;
;;;47.58;0
0;B0;2.88;;
0;B1;2.89;;
0;B2;2.92;;
0;B3;2.87;;
0;B4;2.93;;
0;B5;2.87;;
;;;47.61;1.22
0;B0;2.88;;
0;B1;2.89;;
