IDMessage;Battery;Value;W/h;amps
0;B0;3.10;;
0;B1;3.12;;
0;B2;3.15;;
0;B3;3.14;;
0;B4;3.24;;
0;B5;3.15;;
;;;0.00;0.00
0;B0;3.05;;
0;B1;3.06;;
0;B2;3.08;;
0;B3;3.09;;
0;B4;3.15;;
0;B5;3.07;;
;;;0.76;0.00
0;B0;3.06;;
0;B1;3.08;;
0;B2;3.12;;
0;B3;3.10;;
0;B4;3.19;;
0;B5;3.09;;
;;;0.76;0.00
0;B0;3.07;;
0;B1;3.09;;
0;B2;3.14;;
0;B3;3.11;;
0;B4;3.19;;
0;B5;3.10;;
;;;0.76;0.00
0;B0;3.07;;
0;B1;3.09;;
0;B2;3.12;;
0;B3;3.11;;
0;B4;3.20;;
0;B5;3.10;;
;;;0.76;0.00
0;B0;3.08;;
0;B1;3.09;;
0;B2;3.14;;
0;B3;3.10;;
0;B4;3.20;;
0;B5;3.10;;
;;;0.76;0.00
0;B0;3.00;;
0;B1;2.98;;
0;B2;3.04;;
0;B3;3.00;;
0;B4;3.10;;
0;B5;3.00;;
;;;0.76;3.70
0;B0;2.98;;
0;B1;3.01;;
0;B2;3.02;;
0;B3;2.99;;
0;B4;3.06;;
0;B5;2.97;;
;;;4.77;0.00
0;B0;1.89;;
0;B1;1.81;;
0;B2;1.94;;
0;B3;1.73;;
0;B4;1.86;;
0;B5;1.78;;
;;;7.00;45.02
0;B0;1.88;;
0;B1;1.81;;
0;B2;1.91;;
0;B3;1.72;;
0;B4;1.83;;
0;B5;1.78;;
;;;10.95;45.02
0;B0;2.37;;
0;B1;2.33;;
0;B2;2.40;;
0;B3;2.29;;
0;B4;2.35;;
0;B5;2.32;;
;;;15.90;18.30
0;B0;2.00;;
0;B1;1.90;;
0;B2;2.03;;
0;B3;1.87;;
0;B4;1.95;;
0;B5;1.92;;
;;;20.45;36.25
0;B0;2.61;;
0;B1;2.59;;
0;B2;2.65;;
0;B3;2.57;;
0;B4;2.62;;
0;B5;2.69;;
;;;23.00;13.08
0;B0;2.54;;
0;B1;2.54;;
0;B2;2.63;;
0;B3;2.52;;
0;B4;2.56;;
0;B5;2.50;;
;;;26.32;12.42
